127.0.0.1 - - [07/Mar/2021:12:21:58 +0100] "GET /runserver-1.5.8/Chart.min_2.8.0.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Mar/2021:12:21:58 +0100] "GET /runserver-1.5.8/utils.js HTTP/1.1" 404 779
127.0.0.1 - - [07/Mar/2021:12:21:58 +0100] "GET /runserver-1.5.8/log/SAOP2.json HTTP/1.1" 200 81299
192.168.2.12 - - [07/Mar/2021:12:21:58 +0100] "GET /profilesserver-1.5.8/websocket/get/jobs/jobs1 HTTP/1.1" 101 -
192.168.2.12 - - [07/Mar/2021:12:21:58 +0100] "GET /profilesserver-1.5.8/websocket/get/jobs/jobs2 HTTP/1.1" 101 -
127.0.0.1 - - [07/Mar/2021:12:22:07 +0100] "GET /runserver-1.5.8/plotlog.xhtml?id=SAOP2 HTTP/1.1" 200 13948
127.0.0.1 - - [07/Mar/2021:12:22:07 +0100] "GET /runserver-1.5.8/Chart.min_2.8.0.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Mar/2021:12:22:07 +0100] "GET /runserver-1.5.8/utils.js HTTP/1.1" 404 779
127.0.0.1 - - [07/Mar/2021:12:22:07 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [07/Mar/2021:12:22:07 +0100] "GET /runserver-1.5.8/log/SAOP2.json HTTP/1.1" 200 81299
192.168.2.12 - - [07/Mar/2021:12:22:07 +0100] "GET /profilesserver-1.5.8/websocket/get/jobs/jobs1 HTTP/1.1" 101 -
192.168.2.12 - - [07/Mar/2021:12:22:07 +0100] "GET /profilesserver-1.5.8/websocket/get/jobs/jobs2 HTTP/1.1" 101 -
127.0.0.1 - - [07/Mar/2021:12:22:08 +0100] "GET /runserver-1.5.8/plotlog.xhtml?id=SAOP2 HTTP/1.1" 200 13948
127.0.0.1 - - [07/Mar/2021:12:22:08 +0100] "GET /runserver-1.5.8/Chart.min_2.8.0.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Mar/2021:12:22:09 +0100] "GET /runserver-1.5.8/utils.js HTTP/1.1" 404 779
127.0.0.1 - - [07/Mar/2021:12:22:09 +0100] "GET /runserver-1.5.8/log/SAOP2.json HTTP/1.1" 200 81299
127.0.0.1 - - [07/Mar/2021:12:22:09 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
192.168.2.12 - - [07/Mar/2021:12:22:09 +0100] "GET /profilesserver-1.5.8/websocket/get/jobs/jobs1 HTTP/1.1" 101 -
192.168.2.12 - - [07/Mar/2021:12:22:09 +0100] "GET /profilesserver-1.5.8/websocket/get/jobs/jobs2 HTTP/1.1" 101 -
127.0.0.1 - - [07/Mar/2021:12:22:09 +0100] "GET /runserver-1.5.8/plotlog.xhtml?id=SAOP2 HTTP/1.1" 304 -
127.0.0.1 - - [07/Mar/2021:12:22:10 +0100] "GET /runserver-1.5.8/Chart.min_2.8.0.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Mar/2021:12:22:10 +0100] "GET /runserver-1.5.8/utils.js HTTP/1.1" 404 779
127.0.0.1 - - [07/Mar/2021:12:22:10 +0100] "GET /runserver-1.5.8/log/SAOP2.json HTTP/1.1" 304 -
192.168.2.12 - - [07/Mar/2021:12:22:10 +0100] "GET /profilesserver-1.5.8/websocket/get/jobs/jobs1 HTTP/1.1" 101 -
192.168.2.12 - - [07/Mar/2021:12:22:10 +0100] "GET /profilesserver-1.5.8/websocket/get/jobs/jobs2 HTTP/1.1" 101 -
127.0.0.1 - - [07/Mar/2021:12:22:10 +0100] "GET /runserver-1.5.8/plotlog.xhtml?id=SAOP2 HTTP/1.1" 304 -
127.0.0.1 - - [07/Mar/2021:12:22:11 +0100] "GET /runserver-1.5.8/Chart.min_2.8.0.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Mar/2021:12:22:11 +0100] "GET /runserver-1.5.8/utils.js HTTP/1.1" 404 779
127.0.0.1 - - [07/Mar/2021:12:22:11 +0100] "GET /runserver-1.5.8/log/SAOP2.json HTTP/1.1" 304 -
192.168.2.12 - - [07/Mar/2021:12:22:11 +0100] "GET /profilesserver-1.5.8/websocket/get/jobs/jobs1 HTTP/1.1" 101 -
192.168.2.12 - - [07/Mar/2021:12:22:11 +0100] "GET /profilesserver-1.5.8/websocket/get/jobs/jobs2 HTTP/1.1" 101 -
127.0.0.1 - - [07/Mar/2021:12:22:12 +0100] "GET /runserver-1.5.8/plotlog.xhtml?id=SAOP2 HTTP/1.1" 304 -
127.0.0.1 - - [07/Mar/2021:12:22:12 +0100] "GET /runserver-1.5.8/Chart.min_2.8.0.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Mar/2021:12:22:12 +0100] "GET /runserver-1.5.8/utils.js HTTP/1.1" 404 779
127.0.0.1 - - [07/Mar/2021:12:22:12 +0100] "GET /runserver-1.5.8/log/SAOP2.json HTTP/1.1" 304 -
192.168.2.12 - - [07/Mar/2021:12:22:12 +0100] "GET /profilesserver-1.5.8/websocket/get/jobs/jobs1 HTTP/1.1" 101 -
192.168.2.12 - - [07/Mar/2021:12:22:12 +0100] "GET /profilesserver-1.5.8/websocket/get/jobs/jobs2 HTTP/1.1" 101 -
